time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Total,367,100822,113,0.11208,9366,9.28964,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,State-funded primary,69,21045,4,0.01901,300,1.42552,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Total,263,71864,98,0.13637,8185,11.38957,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Total,77,34172,30,0.08779,2330,6.81845,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,State-funded secondary,19,19559,8,0.0409,1037,5.30191,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Total,90,45992,9,0.01957,1288,2.80049,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Special,7,884,0,0,40,4.52489,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,State-funded primary,63,21098,1,0.00474,144,0.68253,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,State-funded secondary,16,17967,11,0.06122,2015,11.21501,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,State-funded primary,90,30848,0,0,195,0.63213,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Total,82,43881,29,0.06609,2747,6.26011,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Special,5,782,0,0,2,0.25575,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,State-funded secondary,16,20868,16,0.07667,1443,6.91489,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,State-funded secondary,24,23968,14,0.05841,2529,10.55157,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Special,6,931,0,0,8,0.85929,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,State-funded secondary,17,22491,35,0.15562,1438,6.39367,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,State-funded secondary,16,19038,43,0.22586,3986,20.93707,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total,117,44766,52,0.11616,4275,9.54966,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Special,11,1486,0,0,175,11.77658,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Special,4,510,0,0,4,0.78431,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Total,101,36650,63,0.1719,3986,10.87585,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Total,90,42309,21,0.04963,3797,8.97445,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Special,2,322,0,0,1,0.31056,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,State-funded primary,62,14178,1,0.00705,171,1.20609,,
Academic year,202122,Regional,E92000001,England,E12000001,North East,,,,State-funded secondary,174,163982,504,0.30735,38743,23.62637,,
Academic year,202122,Regional,E92000001,England,E12000002,North West,,,,Special,172,21960,6,0.02732,2319,10.56011,,
Academic year,202122,Regional,E92000001,England,E12000004,East Midlands,,,,State-funded primary,1648,402284,74,0.01839,5547,1.37888,,
Academic year,202122,Regional,E92000001,England,E12000005,West Midlands,,,,Total,2322,938760,1046,0.11142,63373,6.75071,,
Academic year,202122,Regional,E92000001,England,E12000006,East of England,,,,State-funded primary,1989,520668,119,0.02286,10722,2.05928,,
Academic year,202122,Regional,E92000001,England,E13000001,Inner London,,,,State-funded primary,702,236828,8,0.00338,1917,0.80945,,
Academic year,202122,Regional,E92000001,England,E13000002,Outer London,,,,Special,93,13359,3,0.02246,1087,8.13684,,
Academic year,202122,Regional,E92000001,England,E13000002,Outer London,,,,State-funded primary,1096,471801,24,0.00509,3794,0.80415,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,57,21514,66,0.30678,5210,24.21679,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,State-funded secondary,31,30476,75,0.2461,4151,13.62055,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Total,252,73426,76,0.10351,4733,6.44595,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,State-funded primary,29,8928,5,0.056,200,2.24014,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,State-funded secondary,8,6722,25,0.37191,1574,23.41565,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Special,10,1152,0,0,52,4.51389,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Special,4,650,0,0,11,1.69231,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,State-funded secondary,6,5723,19,0.33199,1257,21.964,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,State-funded primary,76,22779,2,0.00878,178,0.78142,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,State-funded secondary,13,11322,39,0.34446,2030,17.92969,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,State-funded secondary,32,34909,60,0.17188,6565,18.80604,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,State-funded primary,86,26400,0,0,162,0.61364,,
