time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,State-funded secondary,83,71427,216,0.30241,10766,15.07273,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,595,175656,244,0.13891,12502,7.11732,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,43,19664,25,0.12714,2033,10.33869,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Special,7,544,0,0,28,5.14706,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,State-funded secondary,11,13285,63,0.47422,4319,32.51035,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,State-funded secondary,31,35031,82,0.23408,7706,21.99766,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Special,8,1473,0,0,32,2.17244,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded secondary,38,41645,51,0.12246,9434,22.65338,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,State-funded secondary,27,28162,44,0.15624,5112,18.15212,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Special,9,1947,1,0.05136,17,0.87314,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,State-funded secondary,46,53466,6,0.01122,10154,18.99151,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,State-funded secondary,19,21102,51,0.24168,6071,28.76978,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,State-funded secondary,10,9232,25,0.2708,1798,19.47574,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,State-funded secondary,14,10274,20,0.19467,2174,21.16021,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Special,10,1115,0,0,76,6.81614,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Total,338,126300,59,0.04671,9478,7.50435,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Special,19,2089,2,0.09574,111,5.31355,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Total,353,108268,90,0.08313,8310,7.6754,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,State-funded primary,81,23097,3,0.01299,308,1.33351,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Special,2,286,0,0,9,3.14685,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,54,25362,45,0.17743,6952,27.41109,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Special,3,435,0,0,69,15.86207,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,State-funded secondary,13,12110,33,0.2725,3219,26.58134,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,State-funded primary,127,22357,1,0.00447,247,1.1048,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,State-funded secondary,30,22082,78,0.35323,3880,17.57087,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,State-funded primary,50,14844,2,0.01347,156,1.05093,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Special,14,1727,1,0.0579,174,10.07528,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,121,50824,38,0.07477,2685,5.28294,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,124,52684,75,0.14236,4393,8.33839,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Special,3,474,0,0,4,0.84388,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Special,4,650,0,0,175,26.92308,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,State-funded primary,85,26351,0,0,279,1.05878,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,State-funded secondary,16,14567,62,0.42562,5000,34.32416,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,126,47812,76,0.15896,3166,6.62177,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,State-funded secondary,9,8259,24,0.29059,825,9.9891,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,86,32643,11,0.0337,1721,5.27219,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Special,30,3330,2,0.06006,409,12.28228,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,157,57256,14,0.02445,896,1.5649,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Total,177,67359,51,0.07571,5961,8.8496,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Total,277,129607,8,0.00617,10977,8.46945,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Special,3,430,0,0,2,0.46512,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,State-funded secondary,18,19815,33,0.16654,2288,11.54681,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,State-funded primary,47,14528,0,0,225,1.54873,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Special,11,1170,1,0.08547,106,9.05983,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Total,357,82847,48,0.05794,5341,6.44682,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total,111,59363,20,0.03369,2798,4.71337,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,State-funded primary,75,28597,11,0.03847,471,1.64703,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Special,8,1141,0,0,82,7.18668,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,State-funded primary,111,30529,11,0.03603,727,2.38134,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Special,27,4553,4,0.08785,409,8.98309,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,119,62199,54,0.08682,2977,4.78625,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Special,7,805,1,0.12422,53,6.58385,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,State-funded secondary,19,22522,39,0.17316,1851,8.21863,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Special,8,987,1,0.10132,117,11.8541,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Special,23,2797,2,0.07151,109,3.89703,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,State-funded secondary,13,19787,15,0.07581,1079,5.45308,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Total,59,44863,16,0.03566,1306,2.91108,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Special,6,695,0,0,38,5.46763,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,State-funded secondary,19,24395,34,0.13937,2603,10.67022,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Total,95,56540,9,0.01592,2657,4.69933,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Special,4,492,0,0,7,1.42276,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,State-funded primary,59,24414,0,0,241,0.98714,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,State-funded primary,51,23834,5,0.02098,222,0.93144,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,State-funded secondary,20,20607,31,0.15043,1935,9.39001,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,State-funded primary,35,14179,0,0,72,0.50779,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,State-funded secondary,11,12286,8,0.06511,346,2.81621,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Total,56,27923,5,0.01791,730,2.61433,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Total,59,28454,5,0.01757,943,3.31412,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Special,5,618,0,0,116,18.77023,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Special,4,776,1,0.12887,78,10.05155,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Total,99,53154,35,0.06585,3004,5.6515,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,State-funded primary,86,32186,0,0,367,1.14025,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Special,6,1072,0,0,139,12.96642,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,State-funded primary,40,21791,3,0.01377,133,0.61034,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Special,5,913,0,0,33,3.61446,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,State-funded secondary,11,11249,5,0.04445,884,7.85848,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Total,60,40655,45,0.11069,1976,4.86041,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,State-funded primary,51,24919,1,0.00401,234,0.93904,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Total,72,42251,25,0.05917,1847,4.37149,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Special,8,1142,0,0,86,7.53065,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Total,191,67831,35,0.0516,5949,8.77033,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Total,37,18654,1,0.00536,1153,6.18098,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Special,3,636,1,0.15723,63,9.90566,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,State-funded primary,40,14037,3,0.02137,349,2.48629,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,State-funded secondary,10,9236,11,0.1191,851,9.21395,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Total,54,23603,15,0.06355,1321,5.59675,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Total,586,246629,30,0.01216,12666,5.13565,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,State-funded secondary,7,7652,7,0.09148,1077,14.07475,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Total,48,16842,7,0.04156,1265,7.51098,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,State-funded secondary,16,13949,35,0.25091,1472,10.55273,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,State-funded primary,30,9109,0,0,32,0.3513,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,State-funded primary,44,12793,1,0.00782,166,1.29758,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Special,4,652,0,0,99,15.18405,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Special,9,1590,1,0.06289,75,4.71698,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,State-funded secondary,34,32799,79,0.24086,5540,16.89076,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,167,76032,87,0.11443,6114,8.04135,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Special,6,799,0,0,65,8.13517,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,101,40148,32,0.07971,1540,3.83581,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Special,7,1034,0,0,154,14.89362,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,State-funded secondary,13,17985,36,0.20017,2157,11.99333,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,State-funded primary,69,22828,13,0.05695,368,1.61206,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,95,37540,37,0.09856,4534,12.07778,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,State-funded secondary,14,15907,56,0.35205,2709,17.03024,,
Academic year,202122,Regional,E92000001,England,E12000001,North East,,,,Total,1101,393924,531,0.1348,42096,10.68633,,
Academic year,202122,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special,84,12326,2,0.01623,700,5.67905,,
Academic year,202122,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,State-funded secondary,331,351318,584,0.16623,75509,21.49306,,
Academic year,202122,Regional,E92000001,England,E12000006,East of England,,,,State-funded secondary,394,412109,570,0.13831,47614,11.55374,,
Academic year,202122,Regional,E92000001,England,E12000008,South East,,,,State-funded secondary,510,566409,435,0.0768,60442,10.67109,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Special,26,2774,5,0.18025,487,17.55588,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,State-funded primary,348,66639,32,0.04802,2088,3.1333,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Special,13,1376,3,0.21802,99,7.19477,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,State-funded primary,253,57118,28,0.04902,1895,3.31769,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Total,234,87962,16,0.01819,3519,4.00059,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,State-funded primary,52,18003,0,0,215,1.19425,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,State-funded secondary,69,72861,51,0.07,8292,11.38057,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,State-funded primary,46,15904,0,0,287,1.80458,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Special,3,383,0,0,56,14.62141,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Total,67,29056,12,0.0413,517,1.77932,,
Academic year,202122,National,E92000001,England,,,,,,Total,21322,8368293,6495,0.07761,578280,6.91037,,
Academic year,202122,Regional,E92000001,England,E12000001,North East,,,,State-funded primary,863,220855,21,0.00951,2325,1.05273,,
Academic year,202122,Regional,E92000001,England,E12000002,North West,,,,State-funded secondary,471,459737,1148,0.24971,71254,15.49886,,
Academic year,202122,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,2190,844409,659,0.07804,83823,9.92682,,
Academic year,202122,Regional,E92000001,England,E12000004,East Midlands,,,,Special,86,11151,6,0.05381,639,5.73043,,
Academic year,202122,Regional,E92000001,England,E12000005,West Midlands,,,,State-funded primary,1775,519212,159,0.03062,7859,1.51364,,
Academic year,202122,Regional,E92000001,England,E12000006,East of England,,,,Special,111,14617,12,0.0821,1413,9.66683,,
Academic year,202122,Regional,E92000001,England,E12000009,South West,,,,State-funded primary,1892,420725,95,0.02258,7698,1.8297,,
Academic year,202122,Regional,E92000001,England,E12000009,South West,,,,State-funded secondary,341,333509,575,0.17241,53212,15.95519,,
Academic year,202122,Regional,E92000001,England,E12000009,South West,,,,Total,2327,766215,682,0.08901,62318,8.13323,,
Academic year,202122,Regional,E92000001,England,E13000001,Inner London,,,,Special,61,6924,0,0,513,7.40901,,
Academic year,202122,Regional,E92000001,England,E13000001,Inner London,,,,State-funded secondary,190,190105,141,0.07417,18173,9.55945,,
Academic year,202122,Regional,E92000001,England,E13000001,Inner London,,,,Total,953,433857,149,0.03434,20603,4.7488,,
Academic year,202122,Regional,E92000001,England,E13000002,Outer London,,,,Total,1514,865172,405,0.04681,35775,4.13502,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Special,14,2119,1,0.04719,130,6.13497,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,State-funded secondary,40,49715,68,0.13678,5180,10.41939,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",State-funded primary,104,36071,7,0.01941,678,1.87963,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Total,137,61512,14,0.02276,6531,10.61744,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Special,6,764,0,0,14,1.83246,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Special,8,1133,2,0.17652,46,4.06002,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",State-funded secondary,25,24393,71,0.29107,4038,16.55393,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,State-funded secondary,30,30813,0,0,3792,12.30649,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Total,95,39196,45,0.11481,3939,10.04949,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Total,43,20177,40,0.19825,2165,10.73004,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Total,297,90741,83,0.09147,5309,5.85072,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Special,8,949,2,0.21075,221,23.28767,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,State-funded primary,58,18971,0,0,114,0.60092,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,State-funded primary,45,14098,4,0.02837,255,1.80877,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Special,6,640,0,0,47,7.34375,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Special,5,788,0,0,83,10.53299,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Special,8,654,0,0,33,5.04587,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,State-funded primary,66,25678,1,0.00389,211,0.82172,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,State-funded primary,62,19280,0,0,125,0.64834,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Total,55,21892,4,0.01827,1278,5.83775,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Special,2,197,0,0,128,64.97462,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,State-funded primary,43,24594,1,0.00407,183,0.74408,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,State-funded primary,59,22662,3,0.01324,247,1.08993,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Special,4,852,0,0,173,20.30516,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Special,2,178,0,0,2,1.1236,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Total,36,13375,5,0.03738,718,5.36822,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,State-funded primary,60,20305,0,0,211,1.03915,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Total,87,36541,14,0.03831,1672,4.57568,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,State-funded secondary,14,14281,15,0.10503,1699,11.89693,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Total,83,38431,15,0.03903,2018,5.25097,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Special,4,562,0,0,63,11.20996,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Total,83,44023,11,0.02499,2296,5.21546,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Special,3,482,0,0,44,9.12863,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,State-funded secondary,71,55903,120,0.21466,7221,12.91702,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Special,4,918,0,0,121,13.18083,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Special,10,1692,3,0.1773,136,8.03783,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,State-funded secondary,37,38672,69,0.17842,4848,12.5362,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,State-funded primary,47,23262,1,0.0043,203,0.87267,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,State-funded primary,96,23303,10,0.04291,493,2.11561,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total,128,46601,44,0.09442,2500,5.36469,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Special,12,1590,0,0,198,12.45283,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,State-funded primary,58,21014,6,0.02855,670,3.18835,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Special,5,608,0,0,54,8.88158,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,State-funded primary,33,15715,0,0,139,0.88451,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,State-funded secondary,12,14614,10,0.06843,1469,10.052,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,State-funded secondary,13,11803,17,0.14403,1360,11.52249,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Special,10,1589,1,0.06293,131,8.24418,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Special,6,872,0,0,340,38.99083,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,State-funded primary,72,22797,1,0.00439,204,0.89485,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Special,6,898,1,0.11136,55,6.12472,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,State-funded primary,45,12789,3,0.02346,107,0.83666,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,57,22455,22,0.09797,988,4.39991,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Special,15,1407,0,0,181,12.86425,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,State-funded secondary,26,28359,20,0.07052,5057,17.83208,,
Academic year,202122,Regional,E92000001,England,E12000004,East Midlands,,,,Total,2028,722688,538,0.07444,54673,7.56523,,
Academic year,202122,Regional,E92000001,England,E12000008,South East,,,,Total,3301,1322250,528,0.03993,75123,5.68145,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Special,15,1407,0,0,45,3.19829,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,State-funded secondary,41,41987,22,0.0524,5608,13.35652,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,State-funded secondary,14,13497,12,0.08891,1912,14.16611,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,State-funded secondary,11,13692,23,0.16798,1378,10.06427,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Total,78,31188,25,0.08016,1620,5.19431,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Special,5,565,0,0,76,13.45133,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Special,7,783,0,0,40,5.10856,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,State-funded primary,65,21426,3,0.014,207,0.96612,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,State-funded primary,311,58388,11,0.01884,932,1.59622,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Special,7,724,1,0.13812,163,22.51381,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,State-funded primary,244,47878,26,0.0543,942,1.9675,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,State-funded secondary,41,41433,57,0.13757,4239,10.23098,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Total,1,277,0,0,0,0,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,State-funded secondary,16,14747,30,0.20343,2209,14.97932,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Special,5,603,0,0,43,7.13101,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,State-funded primary,36,9630,1,0.01038,82,0.85151,,
